Date,Region,Proportion
21-Feb-17,West,23.32
21-Feb-17,Midwest,22.1
21-Feb-17,Southwest,14.94
21-Feb-17,Southeast,18.9
21-Feb-17,Northeast,20.73
23-Feb-17,West,27.39
23-Feb-17,Midwest,17.49
23-Feb-17,Southwest,18.9
23-Feb-17,Southeast,17.49
23-Feb-17,Northeast,18.73
